site_id,soil_group,crop_2024,depth_mm,sample_date,days_since_application,herbicide,replicate_id,concentration,is_t0,timepoint,t0_top_mean,relative_concentration
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Imazapic,1,0.0,True,T0,10.9,0.0
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Imazapic,2,0.0,True,T0,10.9,0.0
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Imazapic,3,0.0,True,T0,10.9,0.0
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Imazapic,1,0.6444658365229634,False,T1,10.9,0.05912530610302416
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Imazapic,2,0.5573044449726628,False,T1,10.9,0.051128848162629616
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Imazapic,3,0.4604398674534282,False,T1,10.9,0.04224218967462644
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Imazapic,1,1.529345905319776,False,T2,10.9,0.14030696379080512
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Imazapic,2,1.42419570994872,False,T2,10.9,0.13066015687602933
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Imazapic,3,3.315027878807764,False,T2,10.9,0.30413099805575816
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Imazapic,1,0.5572018027808677,False,T3,10.9,0.05111943144778603
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Imazapic,2,0.9590745873397866,False,T3,10.9,0.08798849425135656
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Imazapic,3,0.5600066717527236,False,T3,10.9,0.05137675887639666
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Imazapic,1,0.41970703885102056,False,T4,10.9,0.03850523292211198
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Imazapic,2,0.5514441138289573,False,T4,10.9,0.05059120310357406
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Imazapic,3,0.1874802881309003,False,T4,10.9,0.01720002643402755
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Terbuthylazine,1,437.5,True,T0,437.5,1.0
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Terbuthylazine,2,437.5,True,T0,437.5,1.0
NSW_Griffith,Light,Wheat,150,2024-04-26,0,Terbuthylazine,3,437.5,True,T0,437.5,1.0
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Terbuthylazine,1,160.38716346841284,False,T1,437.5,0.3665992307849436
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Terbuthylazine,2,174.20607820572522,False,T1,437.5,0.39818532161308623
NSW_Griffith,Light,Wheat,150,2024-05-06,10,Terbuthylazine,3,132.4100044299328,False,T1,437.5,0.30265143869698924
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Terbuthylazine,1,104.92562495300672,False,T2,437.5,0.23982999989258677
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Terbuthylazine,2,162.17157346375114,False,T2,437.5,0.37067788220285974
NSW_Griffith,Light,Wheat,150,2024-05-22,26,Terbuthylazine,3,131.46611784210438,False,T2,437.5,0.30049398363909574
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Terbuthylazine,1,42.34544185753854,False,T3,437.5,0.09678958138865952
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Terbuthylazine,2,30.932656586298805,False,T3,437.5,0.07070321505439726
NSW_Griffith,Light,Wheat,150,2024-07-26,91,Terbuthylazine,3,54.141549995775094,False,T3,437.5,0.12375211427605735
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Terbuthylazine,1,41.30730966941248,False,T4,437.5,0.09441670781579996
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Terbuthylazine,2,17.554164825784298,False,T4,437.5,0.0401238053160784
NSW_Griffith,Light,Wheat,150,2024-09-19,146,Terbuthylazine,3,64.35412691250065,False,T4,437.5,0.14709514722857292
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Terbuthylazine,1,0.0,True,T0,437.5,0.0
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Terbuthylazine,2,0.0,True,T0,437.5,0.0
NSW_Griffith,Light,Wheat,300,2024-04-26,0,Terbuthylazine,3,0.0,True,T0,437.5,0.0
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Terbuthylazine,1,69.69273083770607,False,T1,437.5,0.1592976704861853
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Terbuthylazine,2,57.502159276423804,False,T1,437.5,0.13143350691754013
NSW_Griffith,Light,Wheat,300,2024-05-06,10,Terbuthylazine,3,53.519077156645125,False,T1,437.5,0.12232931921518886
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Terbuthylazine,1,29.222343199034714,False,T2,437.5,0.06679392731207935
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Terbuthylazine,2,23.273420759089394,False,T2,437.5,0.053196390306490045
NSW_Griffith,Light,Wheat,300,2024-05-22,26,Terbuthylazine,3,12.971910607383593,False,T2,437.5,0.029650081388305355
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Terbuthylazine,1,0.6623355550764893,False,T3,437.5,0.0015139098401748328
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Terbuthylazine,2,0.0,False,T3,437.5,0.0
NSW_Griffith,Light,Wheat,300,2024-07-26,91,Terbuthylazine,3,0.0,False,T3,437.5,0.0
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Terbuthylazine,1,0.0,False,T4,437.5,0.0
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Terbuthylazine,2,0.0,False,T4,437.5,0.0
NSW_Griffith,Light,Wheat,300,2024-09-19,146,Terbuthylazine,3,0.7252430487547638,False,T4,437.5,0.0016576983971537456
SA_Minnipa,Heavy,Pea,100,2024-06-12,0,Terbuthylazine,1,656.0,True,T0,656.0,1.0
SA_Minnipa,Heavy,Pea,100,2024-06-12,0,Terbuthylazine,2,656.0,True,T0,656.0,1.0
SA_Minnipa,Heavy,Pea,100,2024-06-12,0,Terbuthylazine,3,656.0,True,T0,656.0,1.0
SA_Minnipa,Heavy,Pea,100,2024-07-10,28,Terbuthylazine,1,47.78762579645129,False,T2,656.0,0.07284699054337086
SA_Minnipa,Heavy,Pea,100,2024-07-10,28,Terbuthylazine,2,64.06204207816864,False,T2,656.0,0.09765555194842782
SA_Minnipa,Heavy,Pea,100,2024-07-10,28,Terbuthylazine,3,46.132297522463446,False,T2,656.0,0.07032362427204794
SA_Minnipa,Heavy,Pea,100,2024-08-14,63,Terbuthylazine,1,20.992025234670862,False,T3,656.0,0.03200003846748607
SA_Minnipa,Heavy,Pea,100,2024-08-14,63,Terbuthylazine,2,21.16276780166542,False,T3,656.0,0.03226031677083144
SA_Minnipa,Heavy,Pea,100,2024-08-14,63,Terbuthylazine,3,9.364986234962542,False,T3,656.0,0.014275893650857534
SA_Minnipa,Heavy,Pea,100,2024-09-27,107,Terbuthylazine,1,17.01884136051632,False,T4,656.0,0.02594335573249439
SA_Minnipa,Heavy,Pea,100,2024-09-27,107,Terbuthylazine,2,21.372615184431506,False,T4,656.0,0.03258020607382851
SA_Minnipa,Heavy,Pea,100,2024-09-27,107,Terbuthylazine,3,8.468682398257874,False,T4,656.0,0.012909576826612612
SA_Minnipa,Heavy,Pea,100,2024-10-28,138,Terbuthylazine,1,20.11708958538325,False,T5,656.0,0.03066629509966959
SA_Minnipa,Heavy,Pea,100,2024-10-28,138,Terbuthylazine,2,20.11372709270096,False,T5,656.0,0.03066116934862951
SA_Minnipa,Heavy,Pea,300,2024-06-12,0,Terbuthylazine,1,0.0,True,T0,656.0,0.0
SA_Minnipa,Heavy,Pea,300,2024-06-12,0,Terbuthylazine,2,0.0,True,T0,656.0,0.0
SA_Minnipa,Heavy,Pea,300,2024-06-12,0,Terbuthylazine,3,0.0,True,T0,656.0,0.0
SA_Minnipa,Heavy,Pea,300,2024-07-10,28,Terbuthylazine,1,12.504027047155226,False,T2,656.0,0.01906101684017565
SA_Minnipa,Heavy,Pea,300,2024-07-10,28,Terbuthylazine,2,35.70993841745787,False,T2,656.0,0.05443588173392968
SA_Minnipa,Heavy,Pea,300,2024-07-10,28,Terbuthylazine,3,26.38836749639048,False,T2,656.0,0.04022616996400988
SA_Minnipa,Heavy,Pea,300,2024-08-14,63,Terbuthylazine,1,15.275946789449076,False,T3,656.0,0.023286504252208958
SA_Minnipa,Heavy,Pea,300,2024-08-14,63,Terbuthylazine,2,11.99298596485696,False,T3,656.0,0.018281990800086828
SA_Minnipa,Heavy,Pea,300,2024-08-14,63,Terbuthylazine,3,17.64939984145359,False,T3,656.0,0.026904572929045106
SA_Minnipa,Heavy,Pea,300,2024-09-27,107,Terbuthylazine,1,0.27694848668911193,False,T4,656.0,0.0004221775711724267
SA_Minnipa,Heavy,Pea,300,2024-09-27,107,Terbuthylazine,2,0.6380207551601408,False,T4,656.0,0.0009725926145733853
SA_Minnipa,Heavy,Pea,300,2024-09-27,107,Terbuthylazine,3,5.2012175701222505,False,T4,656.0,0.007928685320308309
SA_Minnipa,Heavy,Pea,300,2024-10-28,138,Terbuthylazine,1,0.8685366069243862,False,T5,656.0,0.0013239887300676618
SA_Minnipa,Heavy,Pea,300,2024-10-28,138,Terbuthylazine,2,1.9242488537079148,False,T5,656.0,0.002933306179432797
SA_Minnipa,Heavy,Pea,300,2024-10-28,138,Terbuthylazine,3,2.379843261290552,False,T5,656.0,0.0036278098495282807
SA_Minnipa,Heavy,Wheat,100,2024-06-12,0,Flumioxazin,1,37.5,True,T0,37.5,1.0
SA_Minnipa,Heavy,Wheat,100,2024-06-12,0,Flumioxazin,2,37.5,True,T0,37.5,1.0
SA_Minnipa,Heavy,Wheat,100,2024-06-12,0,Flumioxazin,3,37.5,True,T0,37.5,1.0
SA_Minnipa,Heavy,Wheat,100,2024-06-27,15,Flumioxazin,1,50.08,False,T1,37.5,1.3354666666666666
SA_Minnipa,Heavy,Wheat,100,2024-06-27,15,Flumioxazin,2,41.34,False,T1,37.5,1.1024
SA_Minnipa,Heavy,Wheat,100,2024-06-27,15,Flumioxazin,3,18.91,False,T1,37.5,0.5042666666666666
SA_Minnipa,Heavy,Wheat,100,2024-07-10,28,Flumioxazin,1,11.87,False,T2,37.5,0.31653333333333333
SA_Minnipa,Heavy,Wheat,100,2024-07-10,28,Flumioxazin,2,15.164965715777182,False,T2,37.5,0.4043990857540582
SA_Minnipa,Heavy,Wheat,100,2024-07-10,28,Flumioxazin,3,15.41616906832169,False,T2,37.5,0.4110978418219117
